SEX,SEXDesc,AGE,AGEDesc,freq,period,sv,svDesc,figure,sd_value
,Total,65-69,65 - 69,H,199712,POP,Number ('000),244.9,
,Total,70-74,70 - 74,H,199712,POP,Number ('000),187.1,
,Total,75-79,75 - 79,H,199712,POP,Number ('000),128.2,
,Total,80-84,80 - 84,H,199712,POP,Number ('000),70.7,
,Total,85+,≥85,H,199712,POP,Number ('000),47.3,
F,Female,,Total,H,199712,POP,Number ('000),3274.7,
F,Female,0-4,0 - 4,H,199712,POP,Number ('000),166.9,
F,Female,10-14,10 - 14,H,199712,POP,Number ('000),203,
F,Female,15-19,15 - 19,H,199712,POP,Number ('000),230.1,
F,Female,20-24,20 - 24,H,199712,POP,Number ('000),239.9,
F,Female,25-29,25 - 29,H,199712,POP,Number ('000),287.5,
F,Female,30-34,30 - 34,H,199712,POP,Number ('000),333.2,
F,Female,35-39,35 - 39,H,199712,POP,Number ('000),347.2,
F,Female,40-44,40 - 44,H,199712,POP,Number ('000),292.9,
F,Female,45-49,45 - 49,H,199712,POP,Number ('000),230.4,
F,Female,5-9,5 - 9,H,199712,POP,Number ('000),190,
F,Female,50-54,50 - 54,H,199712,POP,Number ('000),144.6,
F,Female,55-59,55 - 59,H,199712,POP,Number ('000),111.2,
F,Female,60-64,60 - 64,H,199712,POP,Number ('000),128.9,
F,Female,65-69,65 - 69,H,199712,POP,Number ('000),120.8,
F,Female,70-74,70 - 74,H,199712,POP,Number ('000),99,
F,Female,75-79,75 - 79,H,199712,POP,Number ('000),72.1,
F,Female,80-84,80 - 84,H,199712,POP,Number ('000),43.6,
F,Female,85+,≥85,H,199712,POP,Number ('000),33.4,
M,Male,,Total,H,199712,POP,Number ('000),3242,
M,Male,0-4,0 - 4,H,199712,POP,Number ('000),181.8,
M,Male,10-14,10 - 14,H,199712,POP,Number ('000),215.8,
M,Male,15-19,15 - 19,H,199712,POP,Number ('000),237.2,
M,Male,20-24,20 - 24,H,199712,POP,Number ('000),233.9,
M,Male,25-29,25 - 29,H,199712,POP,Number ('000),244.9,
M,Male,30-34,30 - 34,H,199712,POP,Number ('000),291.8,
M,Male,35-39,35 - 39,H,199712,POP,Number ('000),334.8,
M,Male,40-44,40 - 44,H,199712,POP,Number ('000),295.1,
M,Male,45-49,45 - 49,H,199712,POP,Number ('000),248,
M,Male,5-9,5 - 9,H,199712,POP,Number ('000),205.2,
M,Male,50-54,50 - 54,H,199712,POP,Number ('000),167.7,
M,Male,55-59,55 - 59,H,199712,POP,Number ('000),134.3,
M,Male,60-64,60 - 64,H,199712,POP,Number ('000),142.2,
M,Male,65-69,65 - 69,H,199712,POP,Number ('000),124.1,
M,Male,70-74,70 - 74,H,199712,POP,Number ('000),88.1,
M,Male,75-79,75 - 79,H,199712,POP,Number ('000),56.1,
M,Male,80-84,80 - 84,H,199712,POP,Number ('000),27.1,
M,Male,85+,≥85,H,199712,POP,Number ('000),13.9,
,Total,,Total,H,199806,POP,Number ('000),6543.7,
,Total,0-4,0 - 4,H,199806,POP,Number ('000),339.7,
,Total,10-14,10 - 14,H,199806,POP,Number ('000),420.6,
,Total,15-19,15 - 19,H,199806,POP,Number ('000),465.2,
,Total,20-24,20 - 24,H,199806,POP,Number ('000),471.3,
,Total,25-29,25 - 29,H,199806,POP,Number ('000),535,
,Total,30-34,30 - 34,H,199806,POP,Number ('000),613.8,
,Total,35-39,35 - 39,H,199806,POP,Number ('000),687.5,
,Total,40-44,40 - 44,H,199806,POP,Number ('000),604.4,
,Total,45-49,45 - 49,H,199806,POP,Number ('000),485.7,
,Total,5-9,5 - 9,H,199806,POP,Number ('000),399.1,
,Total,50-54,50 - 54,H,199806,POP,Number ('000),326.3,
,Total,55-59,55 - 59,H,199806,POP,Number ('000),240.4,
,Total,60-64,60 - 64,H,199806,POP,Number ('000),264.1,
,Total,65-69,65 - 69,H,199806,POP,Number ('000),248.9,
,Total,70-74,70 - 74,H,199806,POP,Number ('000),190.6,
,Total,75-79,75 - 79,H,199806,POP,Number ('000),130.2,
,Total,80-84,80 - 84,H,199806,POP,Number ('000),72.7,
,Total,85+,≥85,H,199806,POP,Number ('000),48.2,
F,Female,,Total,H,199806,POP,Number ('000),3293.8,
F,Female,0-4,0 - 4,H,199806,POP,Number ('000),162.5,
F,Female,10-14,10 - 14,H,199806,POP,Number ('000),203.6,
F,Female,15-19,15 - 19,H,199806,POP,Number ('000),227.9,
F,Female,20-24,20 - 24,H,199806,POP,Number ('000),240.5,
F,Female,25-29,25 - 29,H,199806,POP,Number ('000),289.8,
F,Female,30-34,30 - 34,H,199806,POP,Number ('000),329,
F,Female,35-39,35 - 39,H,199806,POP,Number ('000),352.7,
F,Female,40-44,40 - 44,H,199806,POP,Number ('000),300.5,
F,Female,45-49,45 - 49,H,199806,POP,Number ('000),235.8,
F,Female,5-9,5 - 9,H,199806,POP,Number ('000),192.1,
F,Female,50-54,50 - 54,H,199806,POP,Number ('000),151.6,
F,Female,55-59,55 - 59,H,199806,POP,Number ('000),107.8,
F,Female,60-64,60 - 64,H,199806,POP,Number ('000),125.3,
F,Female,65-69,65 - 69,H,199806,POP,Number ('000),122,
F,Female,70-74,70 - 74,H,199806,POP,Number ('000),100.7,
F,Female,75-79,75 - 79,H,199806,POP,Number ('000),73.2,
F,Female,80-84,80 - 84,H,199806,POP,Number ('000),44.4,
F,Female,85+,≥85,H,199806,POP,Number ('000),34.4,
M,Male,,Total,H,199806,POP,Number ('000),3249.9,
M,Male,0-4,0 - 4,H,199806,POP,Number ('000),177.2,
M,Male,10-14,10 - 14,H,199806,POP,Number ('000),217,
M,Male,15-19,15 - 19,H,199806,POP,Number ('000),237.3,
M,Male,20-24,20 - 24,H,199806,POP,Number ('000),230.8,
M,Male,25-29,25 - 29,H,199806,POP,Number ('000),245.2,
M,Male,30-34,30 - 34,H,199806,POP,Number ('000),284.8,
M,Male,35-39,35 - 39,H,199806,POP,Number ('000),334.8,
M,Male,40-44,40 - 44,H,199806,POP,Number ('000),303.9,
M,Male,45-49,45 - 49,H,199806,POP,Number ('000),249.9,
M,Male,5-9,5 - 9,H,199806,POP,Number ('000),207,
M,Male,50-54,50 - 54,H,199806,POP,Number ('000),174.7,
M,Male,55-59,55 - 59,H,199806,POP,Number ('000),132.6,
M,Male,60-64,60 - 64,H,199806,POP,Number ('000),138.8,
M,Male,65-69,65 - 69,H,199806,POP,Number ('000),126.9,
M,Male,70-74,70 - 74,H,199806,POP,Number ('000),89.9,
M,Male,75-79,75 - 79,H,199806,POP,Number ('000),57,
M,Male,80-84,80 - 84,H,199806,POP,Number ('000),28.3,
M,Male,85+,≥85,H,199806,POP,Number ('000),13.8,
,Total,,Total,H,199812,POP,Number ('000),6583.4,
,Total,0-4,0 - 4,H,199812,POP,Number ('000),325.9,
,Total,10-14,10 - 14,H,199812,POP,Number ('000),429,
,Total,15-19,15 - 19,H,199812,POP,Number ('000),469.7,
,Total,20-24,20 - 24,H,199812,POP,Number ('000),472.3,
,Total,25-29,25 - 29,H,199812,POP,Number ('000),529,
,Total,30-34,30 - 34,H,199812,POP,Number ('000),603.2,
,Total,35-39,35 - 39,H,199812,POP,Number ('000),686.7,
,Total,40-44,40 - 44,H,199812,POP,Number ('000),623.8,
,Total,45-49,45 - 49,H,199812,POP,Number ('000),493.6,
,Total,5-9,5 - 9,H,199812,POP,Number ('000),399.7,
,Total,50-54,50 - 54,H,199812,POP,Number ('000),345.4,
,Total,55-59,55 - 59,H,199812,POP,Number ('000),239.9,
,Total,60-64,60 - 64,H,199812,POP,Number ('000),263.7,
,Total,65-69,65 - 69,H,199812,POP,Number ('000),252.5,
,Total,70-74,70 - 74,H,199812,POP,Number ('000),193.7,
,Total,75-79,75 - 79,H,199812,POP,Number ('000),133.2,
,Total,80-84,80 - 84,H,199812,POP,Number ('000),73.4,
,Total,85+,≥85,H,199812,POP,Number ('000),48.7,
F,Female,,Total,H,199812,POP,Number ('000),3322.7,
F,Female,0-4,0 - 4,H,199812,POP,Number ('000),156.1,
F,Female,10-14,10 - 14,H,199812,POP,Number ('000),207.9,
F,Female,15-19,15 - 19,H,199812,POP,Number ('000),231.1,
F,Female,20-24,20 - 24,H,199812,POP,Number ('000),241.7,
F,Female,25-29,25 - 29,H,199812,POP,Number ('000),285.3,
F,Female,30-34,30 - 34,H,199812,POP,Number ('000),324.8,
F,Female,35-39,35 - 39,H,199812,POP,Number ('000),355.3,
F,Female,40-44,40 - 44,H,199812,POP,Number ('000),312,
F,Female,45-49,45 - 49,H,199812,POP,Number ('000),240.9,
F,Female,5-9,5 - 9,H,199812,POP,Number ('000),191.9,
F,Female,50-54,50 - 54,H,199812,POP,Number ('000),162.9,
F,Female,55-59,55 - 59,H,199812,POP,Number ('000),107.7,
F,Female,60-64,60 - 64,H,199812,POP,Number ('000),125.8,
F,Female,65-69,65 - 69,H,199812,POP,Number ('000),123.1,
F,Female,70-74,70 - 74,H,199812,POP,Number ('000),101.9,
F,Female,75-79,75 - 79,H,199812,POP,Number ('000),75,
F,Female,80-84,80 - 84,H,199812,POP,Number ('000),44.8,
F,Female,85+,≥85,H,199812,POP,Number ('000),34.5,
M,Male,,Total,H,199812,POP,Number ('000),3260.7,
M,Male,0-4,0 - 4,H,199812,POP,Number ('000),169.8,
M,Male,10-14,10 - 14,H,199812,POP,Number ('000),221.1,
M,Male,15-19,15 - 19,H,199812,POP,Number ('000),238.6,
M,Male,20-24,20 - 24,H,199812,POP,Number ('000),230.6,
M,Male,25-29,25 - 29,H,199812,POP,Number ('000),243.7,
M,Male,30-34,30 - 34,H,199812,POP,Number ('000),278.4,
M,Male,35-39,35 - 39,H,199812,POP,Number ('000),331.4,
M,Male,40-44,40 - 44,H,199812,POP,Number ('000),311.8,
M,Male,45-49,45 - 49,H,199812,POP,Number ('000),252.7,
M,Male,5-9,5 - 9,H,199812,POP,Number ('000),207.8,
M,Male,50-54,50 - 54,H,199812,POP,Number ('000),182.5,
M,Male,55-59,55 - 59,H,199812,POP,Number ('000),132.2,
M,Male,60-64,60 - 64,H,199812,POP,Number ('000),137.9,
M,Male,65-69,65 - 69,H,199812,POP,Number ('000),129.4,
M,Male,70-74,70 - 74,H,199812,POP,Number ('000),91.8,
M,Male,75-79,75 - 79,H,199812,POP,Number ('000),58.2,
M,Male,80-84,80 - 84,H,199812,POP,Number ('000),28.6,
M,Male,85+,≥85,H,199812,POP,Number ('000),14.2,
,Total,,Total,H,199906,POP,Number ('000),6606.5,
,Total,0-4,0 - 4,H,199906,POP,Number ('000),322.3,
,Total,10-14,10 - 14,H,199906,POP,Number ('000),429.8,
,Total,15-19,15 - 19,H,199906,POP,Number ('000),462.8,
,Total,20-24,20 - 24,H,199906,POP,Number ('000),469.6,
,Total,25-29,25 - 29,H,199906,POP,Number ('000),530.5,
,Total,30-34,30 - 34,H,199906,POP,Number ('000),595.1,
,Total,35-39,35 - 39,H,199906,POP,Number ('000),692.4,
,Total,40-44,40 - 44,H,199906,POP,Number ('000),631.7,
,Total,45-49,45 - 49,H,199906,POP,Number ('000),501.6,
,Total,5-9,5 - 9,H,199906,POP,Number ('000),402.2,
,Total,50-54,50 - 54,H,199906,POP,Number ('000),358,
,Total,55-59,55 - 59,H,199906,POP,Number ('000),241.1,
,Total,60-64,60 - 64,H,199906,POP,Number ('000),259.4,
,Total,65-69,65 - 69,H,199906,POP,Number ('000),252.4,
,Total,70-74,70 - 74,H,199906,POP,Number ('000),195.1,
,Total,75-79,75 - 79,H,199906,POP,Number ('000),136.5,
,Total,80-84,80 - 84,H,199906,POP,Number ('000),75.5,
,Total,85+,≥85,H,199906,POP,Number ('000),50.5,
F,Female,,Total,H,199906,POP,Number ('000),3341.8,
F,Female,0-4,0 - 4,H,199906,POP,Number ('000),154.1,
F,Female,10-14,10 - 14,H,199906,POP,Number ('000),208.9,
F,Female,15-19,15 - 19,H,199906,POP,Number ('000),225.8,
F,Female,20-24,20 - 24,H,199906,POP,Number ('000),242.2,
F,Female,25-29,25 - 29,H,199906,POP,Number ('000),287,
F,Female,30-34,30 - 34,H,199906,POP,Number ('000),324,
F,Female,35-39,35 - 39,H,199906,POP,Number ('000),361.4,
F,Female,40-44,40 - 44,H,199906,POP,Number ('000),315.3,
F,Female,45-49,45 - 49,H,199906,POP,Number ('000),245.6,
F,Female,5-9,5 - 9,H,199906,POP,Number ('000),193.2,
F,Female,50-54,50 - 54,H,199906,POP,Number ('000),169.8,
F,Female,55-59,55 - 59,H,199906,POP,Number ('000),107.9,
F,Female,60-64,60 - 64,H,199906,POP,Number ('000),122.9,
F,Female,65-69,65 - 69,H,199906,POP,Number ('000),122.8,
F,Female,70-74,70 - 74,H,199906,POP,Number ('000),102,
F,Female,75-79,75 - 79,H,199906,POP,Number ('000),76.8,
F,Female,80-84,80 - 84,H,199906,POP,Number ('000),46.2,
F,Female,85+,≥85,H,199906,POP,Number ('000),35.9,
M,Male,,Total,H,199906,POP,Number ('000),3264.7,
M,Male,0-4,0 - 4,H,199906,POP,Number ('000),168.2,
M,Male,10-14,10 - 14,H,199906,POP,Number ('000),220.9,
M,Male,15-19,15 - 19,H,199906,POP,Number ('000),237,
M,Male,20-24,20 - 24,H,199906,POP,Number ('000),227.4,
M,Male,25-29,25 - 29,H,199906,POP,Number ('000),243.5,
M,Male,30-34,30 - 34,H,199906,POP,Number ('000),271.1,
M,Male,35-39,35 - 39,H,199906,POP,Number ('000),331,
M,Male,40-44,40 - 44,H,199906,POP,Number ('000),316.4,
M,Male,45-49,45 - 49,H,199906,POP,Number ('000),256,
M,Male,5-9,5 - 9,H,199906,POP,Number ('000),209,
M,Male,50-54,50 - 54,H,199906,POP,Number ('000),188.2,
M,Male,55-59,55 - 59,H,199906,POP,Number ('000),133.2,
M,Male,60-64,60 - 64,H,199906,POP,Number ('000),136.5,
M,Male,65-69,65 - 69,H,199906,POP,Number ('000),129.6,
M,Male,70-74,70 - 74,H,199906,POP,Number ('000),93.1,
M,Male,75-79,75 - 79,H,199906,POP,Number ('000),59.7,
M,Male,80-84,80 - 84,H,199906,POP,Number ('000),29.3,
M,Male,85+,≥85,H,199906,POP,Number ('000),14.6,
,Total,,Total,H,199912,POP,Number ('000),6637.6,
,Total,0-4,0 - 4,H,199912,POP,Number ('000),305.3,
,Total,10-14,10 - 14,H,199912,POP,Number ('000),430.4,
,Total,15-19,15 - 19,H,199912,POP,Number ('000),465,
,Total,20-24,20 - 24,H,199912,POP,Number ('000),470.6,
,Total,25-29,25 - 29,H,199912,POP,Number ('000),532,
,Total,30-34,30 - 34,H,199912,POP,Number ('000),585.1,
,Total,35-39,35 - 39,H,199912,POP,Number ('000),695.4,
,Total,40-44,40 - 44,H,199912,POP,Number ('000),640.7,
,Total,45-49,45 - 49,H,199912,POP,Number ('000),508.7,
,Total,5-9,5 - 9,H,199912,POP,Number ('000),401.7,
,Total,50-54,50 - 54,H,199912,POP,Number ('000),381.4,
,Total,55-59,55 - 59,H,199912,POP,Number ('000),242.8,
,Total,60-64,60 - 64,H,199912,POP,Number ('000),260.2,
,Total,65-69,65 - 69,H,199912,POP,Number ('000),253.8,
,Total,70-74,70 - 74,H,199912,POP,Number ('000),197.7,
,Total,75-79,75 - 79,H,199912,POP,Number ('000),137.3,
,Total,80-84,80 - 84,H,199912,POP,Number ('000),77.8,
,Total,85+,≥85,H,199912,POP,Number ('000),51.7,
F,Female,,Total,H,199912,POP,Number ('000),3366.6,
F,Female,0-4,0 - 4,H,199912,POP,Number ('000),146.3,
F,Female,10-14,10 - 14,H,199912,POP,Number ('000),209.1,
F,Female,15-19,15 - 19,H,199912,POP,Number ('000),226.9,
F,Female,20-24,20 - 24,H,199912,POP,Number ('000),244.2,
F,Female,25-29,25 - 29,H,199912,POP,Number ('000),286.6,
F,Female,30-34,30 - 34,H,199912,POP,Number ('000),320.8,
F,Female,35-39,35 - 39,H,199912,POP,Number ('000),366.3,
F,Female,40-44,40 - 44,H,199912,POP,Number ('000),321.1,
F,Female,45-49,45 - 49,H,199912,POP,Number ('000),251.1,
F,Female,5-9,5 - 9,H,199912,POP,Number ('000),192.9,
F,Female,50-54,50 - 54,H,199912,POP,Number ('000),181.5,
F,Female,55-59,55 - 59,H,199912,POP,Number ('000),109.3,
F,Female,60-64,60 - 64,H,199912,POP,Number ('000),122.9,
F,Female,65-69,65 - 69,H,199912,POP,Number ('000),123.5,
F,Female,70-74,70 - 74,H,199912,POP,Number ('000),102.9,
F,Female,75-79,75 - 79,H,199912,POP,Number ('000),77.3,
F,Female,80-84,80 - 84,H,199912,POP,Number ('000),47.4,
F,Female,85+,≥85,H,199912,POP,Number ('000),36.5,
M,Male,,Total,H,199912,POP,Number ('000),3271,
M,Male,0-4,0 - 4,H,199912,POP,Number ('000),159,
M,Male,10-14,10 - 14,H,199912,POP,Number ('000),221.3,
M,Male,15-19,15 - 19,H,199912,POP,Number ('000),238.1,
M,Male,20-24,20 - 24,H,199912,POP,Number ('000),226.4,
M,Male,25-29,25 - 29,H,199912,POP,Number ('000),245.4,
M,Male,30-34,30 - 34,H,199912,POP,Number ('000),264.3,
M,Male,35-39,35 - 39,H,199912,POP,Number ('000),329.1,
M,Male,40-44,40 - 44,H,199912,POP,Number ('000),319.6,
M,Male,45-49,45 - 49,H,199912,POP,Number ('000),257.6,
M,Male,5-9,5 - 9,H,199912,POP,Number ('000),208.8,
M,Male,50-54,50 - 54,H,199912,POP,Number ('000),199.9,
M,Male,55-59,55 - 59,H,199912,POP,Number ('000),133.5,
M,Male,60-64,60 - 64,H,199912,POP,Number ('000),137.3,
M,Male,65-69,65 - 69,H,199912,POP,Number ('000),130.3,
M,Male,70-74,70 - 74,H,199912,POP,Number ('000),94.8,
M,Male,75-79,75 - 79,H,199912,POP,Number ('000),60,
M,Male,80-84,80 - 84,H,199912,POP,Number ('000),30.4,
M,Male,85+,≥85,H,199912,POP,Number ('000),15.2,
,Total,,Total,H,200006,POP,Number ('000),6665,
,Total,0-4,0 - 4,H,200006,POP,Number ('000),294.7,
,Total,10-14,10 - 14,H,200006,POP,Number ('000),431.9,
,Total,15-19,15 - 19,H,200006,POP,Number ('000),459,
,Total,20-24,20 - 24,H,200006,POP,Number ('000),466.8,
,Total,25-29,25 - 29,H,200006,POP,Number ('000),533.2,
,Total,30-34,30 - 34,H,200006,POP,Number ('000),585.3,
,Total,35-39,35 - 39,H,200006,POP,Number ('000),689.6,
,Total,40-44,40 - 44,H,200006,POP,Number ('000),658.8,
,Total,45-49,45 - 49,H,200006,POP,Number ('000),514.6,
,Total,5-9,5 - 9,H,200006,POP,Number ('000),401.5,
,Total,50-54,50 - 54,H,200006,POP,Number ('000),401.2,
,Total,55-59,55 - 59,H,200006,POP,Number ('000),241.8,
,Total,60-64,60 - 64,H,200006,POP,Number ('000),257.4,
,Total,65-69,65 - 69,H,200006,POP,Number ('000),251.6,
,Total,70-74,70 - 74,H,200006,POP,Number ('000),202.4,
,Total,75-79,75 - 79,H,200006,POP,Number ('000),139.3,
,Total,80-84,80 - 84,H,200006,POP,Number ('000),80.9,
,Total,85+,≥85,H,200006,POP,Number ('000),55,
F,Female,,Total,H,200006,POP,Number ('000),3388.5,
F,Female,0-4,0 - 4,H,200006,POP,Number ('000),141.3,
F,Female,10-14,10 - 14,H,200006,POP,Number ('000),210,
F,Female,15-19,15 - 19,H,200006,POP,Number ('000),222.6,
F,Female,20-24,20 - 24,H,200006,POP,Number ('000),242.1,
F,Female,25-29,25 - 29,H,200006,POP,Number ('000),290.6,
F,Female,30-34,30 - 34,H,200006,POP,Number ('000),322.1,
F,Female,35-39,35 - 39,H,200006,POP,Number ('000),366.5,
F,Female,40-44,40 - 44,H,200006,POP,Number ('000),331.9,
F,Female,45-49,45 - 49,H,200006,POP,Number ('000),253.9,
F,Female,5-9,5 - 9,H,200006,POP,Number ('000),192.7,
F,Female,50-54,50 - 54,H,200006,POP,Number ('000),190.8,
F,Female,55-59,55 - 59,H,200006,POP,Number ('000),109.4,
F,Female,60-64,60 - 64,H,200006,POP,Number ('000),121.6,
F,Female,65-69,65 - 69,H,200006,POP,Number ('000),122.6,
F,Female,70-74,70 - 74,H,200006,POP,Number ('000),104.6,
F,Female,75-79,75 - 79,H,200006,POP,Number ('000),78.2,
F,Female,80-84,80 - 84,H,200006,POP,Number ('000),48.9,
F,Female,85+,≥85,H,200006,POP,Number ('000),38.7,
M,Male,,Total,H,200006,POP,Number ('000),3276.5,
M,Male,0-4,0 - 4,H,200006,POP,Number ('000),153.4,
M,Male,10-14,10 - 14,H,200006,POP,Number ('000),221.9,
M,Male,15-19,15 - 19,H,200006,POP,Number ('000),236.4,
M,Male,20-24,20 - 24,H,200006,POP,Number ('000),224.7,
M,Male,25-29,25 - 29,H,200006,POP,Number ('000),242.6,
M,Male,30-34,30 - 34,H,200006,POP,Number ('000),263.2,
M,Male,35-39,35 - 39,H,200006,POP,Number ('000),323.1,
M,Male,40-44,40 - 44,H,200006,POP,Number ('000),326.9,
M,Male,45-49,45 - 49,H,200006,POP,Number ('000),260.7,
M,Male,5-9,5 - 9,H,200006,POP,Number ('000),208.8,
M,Male,50-54,50 - 54,H,200006,POP,Number ('000),210.4,
M,Male,55-59,55 - 59,H,200006,POP,Number ('000),132.4,
M,Male,60-64,60 - 64,H,200006,POP,Number ('000),135.8,
M,Male,65-69,65 - 69,H,200006,POP,Number ('000),129,
M,Male,70-74,70 - 74,H,200006,POP,Number ('000),97.8,
M,Male,75-79,75 - 79,H,200006,POP,Number ('000),61.1,
M,Male,80-84,80 - 84,H,200006,POP,Number ('000),32,
M,Male,85+,≥85,H,200006,POP,Number ('000),16.3,
,Total,,Total,H,200012,POP,Number ('000),6711.5,
,Total,0-4,0 - 4,H,200012,POP,Number ('000),282.5,
,Total,10-14,10 - 14,H,200012,POP,Number ('000),432.4,
,Total,15-19,15 - 19,H,200012,POP,Number ('000),456.6,
,Total,20-24,20 - 24,H,200012,POP,Number ('000),472.8,
,Total,25-29,25 - 29,H,200012,POP,Number ('000),528.9,
,Total,30-34,30 - 34,H,200012,POP,Number ('000),585.6,
,Total,35-39,35 - 39,H,200012,POP,Number ('000),684.3,
,Total,40-44,40 - 44,H,200012,POP,Number ('000),674.6,
,Total,45-49,45 - 49,H,200012,POP,Number ('000),525.7,
,Total,5-9,5 - 9,H,200012,POP,Number ('000),399.9,
,Total,50-54,50 - 54,H,200012,POP,Number ('000),422.8,
,Total,55-59,55 - 59,H,200012,POP,Number ('000),245.7,
,Total,60-64,60 - 64,H,200012,POP,Number ('000),257.3,
,Total,65-69,65 - 69,H,200012,POP,Number ('000),251.1,
,Total,70-74,70 - 74,H,200012,POP,Number ('000),208.2,
,Total,75-79,75 - 79,H,200012,POP,Number ('000),141,
,Total,80-84,80 - 84,H,200012,POP,Number ('000),83.6,
,Total,85+,≥85,H,200012,POP,Number ('000),58.5,
F,Female,,Total,H,200012,POP,Number ('000),3423,
F,Female,0-4,0 - 4,H,200012,POP,Number ('000),135.3,
F,Female,10-14,10 - 14,H,200012,POP,Number ('000),210.3,
F,Female,15-19,15 - 19,H,200012,POP,Number ('000),221.4,
F,Female,20-24,20 - 24,H,200012,POP,Number ('000),245.9,
F,Female,25-29,25 - 29,H,200012,POP,Number ('000),286.7,
F,Female,30-34,30 - 34,H,200012,POP,Number ('000),325.7,
F,Female,35-39,35 - 39,H,200012,POP,Number ('000),367.8,
F,Female,40-44,40 - 44,H,200012,POP,Number ('000),340.7,
F,Female,45-49,45 - 49,H,200012,POP,Number ('000),261.3,
F,Female,5-9,5 - 9,H,200012,POP,Number ('000),192.2,
F,Female,50-54,50 - 54,H,200012,POP,Number ('000),202.6,
F,Female,55-59,55 - 59,H,200012,POP,Number ('000),112.5,
F,Female,60-64,60 - 64,H,200012,POP,Number ('000),121,
F,Female,65-69,65 - 69,H,200012,POP,Number ('000),122.4,
F,Female,70-74,70 - 74,H,200012,POP,Number ('000),107.1,
F,Female,75-79,75 - 79,H,200012,POP,Number ('000),79.2,
F,Female,80-84,80 - 84,H,200012,POP,Number ('000),50.2,
F,Female,85+,≥85,H,200012,POP,Number ('000),40.7,
M,Male,,Total,H,200012,POP,Number ('000),3288.5,
M,Male,0-4,0 - 4,H,200012,POP,Number ('000),147.2,
M,Male,10-14,10 - 14,H,200012,POP,Number ('000),222.1,
M,Male,15-19,15 - 19,H,200012,POP,Number ('000),235.2,
M,Male,20-24,20 - 24,H,200012,POP,Number ('000),226.9,
M,Male,25-29,25 - 29,H,200012,POP,Number ('000),242.2,
M,Male,30-34,30 - 34,H,200012,POP,Number ('000),259.9,
M,Male,35-39,35 - 39,H,200012,POP,Number ('000),316.5,
M,Male,40-44,40 - 44,H,200012,POP,Number ('000),333.9,
M,Male,45-49,45 - 49,H,200012,POP,Number ('000),264.4,
M,Male,5-9,5 - 9,H,200012,POP,Number ('000),207.7,
M,Male,50-54,50 - 54,H,200012,POP,Number ('000),220.2,
M,Male,55-59,55 - 59,H,200012,POP,Number ('000),133.2,
M,Male,60-64,60 - 64,H,200012,POP,Number ('000),136.3,
M,Male,65-69,65 - 69,H,200012,POP,Number ('000),128.7,
M,Male,70-74,70 - 74,H,200012,POP,Number ('000),101.1,
M,Male,75-79,75 - 79,H,200012,POP,Number ('000),61.8,
M,Male,80-84,80 - 84,H,200012,POP,Number ('000),33.4,
M,Male,85+,≥85,H,200012,POP,Number ('000),17.8,
,Total,,Total,H,200106,POP,Number ('000),6714.3,
,Total,0-4,0 - 4,H,200106,POP,Number ('000),272.8,
,Total,10-14,10 - 14,H,200106,POP,Number ('000),429.3,
,Total,15-19,15 - 19,H,200106,POP,Number ('000),446,
,Total,20-24,20 - 24,H,200106,POP,Number ('000),467.9,
,Total,25-29,25 - 29,H,200106,POP,Number ('000),524.1,
,Total,30-34,30 - 34,H,200106,POP,Number ('000),582.3,
,Total,35-39,35 - 39,H,200106,POP,Number ('000),683.2,
,Total,40-44,40 - 44,H,200106,POP,Number ('000),678.7,
,Total,45-49,45 - 49,H,200106,POP,Number ('000),539.7,
,Total,5-9,5 - 9,H,200106,POP,Number ('000),396.4,
,Total,50-54,50 - 54,H,200106,POP,Number ('000),437,
,Total,55-59,55 - 59,H,200106,POP,Number ('000),252.6,
,Total,60-64,60 - 64,H,200106,POP,Number ('000),251,
,Total,65-69,65 - 69,H,200106,POP,Number ('000),250.1,
,Total,70-74,70 - 74,H,200106,POP,Number ('000),210.2,
,Total,75-79,75 - 79,H,200106,POP,Number ('000),144.1,
,Total,80-84,80 - 84,H,200106,POP,Number ('000),86.3,
,Total,85+,≥85,H,200106,POP,Number ('000),62.6,
F,Female,,Total,H,200106,POP,Number ('000),3432.3,
F,Female,0-4,0 - 4,H,200106,POP,Number ('000),130.8,
F,Female,10-14,10 - 14,H,200106,POP,Number ('000),208.4,
F,Female,15-19,15 - 19,H,200106,POP,Number ('000),216.7,
F,Female,20-24,20 - 24,H,200106,POP,Number ('000),242.8,
F,Female,25-29,25 - 29,H,200106,POP,Number ('000),283.6,
F,Female,30-34,30 - 34,H,200106,POP,Number ('000),326.4,
F,Female,35-39,35 - 39,H,200106,POP,Number ('000),370.5,
F,Female,40-44,40 - 44,H,200106,POP,Number ('000),343.3,
F,Female,45-49,45 - 49,H,200106,POP,Number ('000),269.2,
F,Female,5-9,5 - 9,H,200106,POP,Number ('000),191.2,
F,Female,50-54,50 - 54,H,200106,POP,Number ('000),210.3,
F,Female,55-59,55 - 59,H,200106,POP,Number ('000),116.6,
F,Female,60-64,60 - 64,H,200106,POP,Number ('000),117.1,
F,Female,65-69,65 - 69,H,200106,POP,Number ('000),121.9,
F,Female,70-74,70 - 74,H,200106,POP,Number ('000),107.9,
F,Female,75-79,75 - 79,H,200106,POP,Number ('000),80.5,
F,Female,80-84,80 - 84,H,200106,POP,Number ('000),52.1,
