route,bound,service_type,orig_en,orig_tc,orig_sc,dest_en,dest_tc,dest_sc,data_timestamp
36X,I,1,TSIM SHA TSUI EAST (MODY ROAD),尖沙咀東(麼地道),尖沙咀东(么地道),LEI MUK SHUE,梨木樹,梨木树,
37,O,1,OLYMPIC STATION,奧運站,奥运站,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),
37,O,2,OLYMPIC STATION,奧運站,奥运站,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),
37,I,1,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),OLYMPIC STATION,奧運站,奥运站,
37M,O,1,KWAI HING STATION,葵興站,葵兴站,KWAI SHING CENTRAL (CIRCULAR),葵盛中(循環線),葵盛中(循环线),
37X,O,1,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,YAU MA TEI,油麻地,油麻地,
38,O,1,KWAI SHING (EAST),葵盛(東),葵盛(东),PING TIN,平田,平田,
38,I,1,PING TIN,平田,平田,KWAI SHING (EAST),葵盛(東),葵盛(东),
38A,O,1,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),MEI FOO,美孚,美孚,
38A,I,1,MEI FOO,美孚,美孚,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),
38B,O,1,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),SHEK MUN ESTATE,碩門邨,硕门邨,
38B,I,1,SHEK MUN ESTATE,碩門邨,硕门邨,TSUEN WAN (RIVIERA GARDENS),荃灣(海濱花園),荃湾(海滨花园),
38P,O,1,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),PING TIN,平田,平田,
38P,I,1,PING TIN,平田,平田,KWAI SHING (CENTRAL),葵盛(中),葵盛(中),
38S,O,1,KWAI FONG STATION,葵芳站,葵芳站,TSUEN WAN CHINESE CEMETERY,荃灣華人永遠墳場,荃湾华人永远坟场,
38S,I,1,TSUEN WAN CHINESE CEMETERY,荃灣華人永遠墳場,荃湾华人永远坟场,KWAI FONG STATION,葵芳站,葵芳站,
39A,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,ALLWAY GARDENS (CIRCULAR),荃威花園(循環線),荃威花园(循环线),
39M,O,1,TSUEN WAN (ALLWAY GARDENS),荃灣(荃威花園),荃湾(荃威花园),TSUEN WAN STATION (CIRCULAR),荃灣站(循環線),荃湾站(循环线),
40,O,1,TSUEN WAN (BELVEDERE GARDEN),荃灣(麗城花園),荃湾(丽城花园),LAGUNA CITY,麗港城,丽港城,
40,O,2,TSUEN WAN (BELVEDERE GARDEN),荃灣(麗城花園),荃湾(丽城花园),LAGUNA CITY,麗港城,丽港城,
40,I,1,LAGUNA CITY,麗港城,丽港城,TSUEN WAN (BELVEDERE GARDEN),荃灣(麗城花園),荃湾(丽城花园),
40A,O,1,KWAI HING STATION,葵興站,葵兴站,PING TIN,平田,平田,
40B,O,1,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,PING TIN,平田,平田,
40E,O,1,NAI CHUNG,泥涌,泥涌,KWAI CHUNG (KWAI FONG ESTATE),葵涌(葵芳邨),葵涌(葵芳邨),
40E,I,1,KWAI FONG (SOUTH),葵芳(南),葵芳(南),NAI CHUNG,泥涌,泥涌,
40P,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),KWUN TONG FERRY,觀塘碼頭,观塘码头,
40P,O,2,SHEK YAM EAST ESTATE,石蔭東邨,石荫东邨,KWUN TONG FERRY,觀塘碼頭,观塘码头,
40P,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
40X,O,1,WU KAI SHA STATION,烏溪沙站,乌溪沙站,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,
40X,O,3,WU KAI SHA STATION,烏溪沙站,乌溪沙站,KWAI FONG (SOUTH),葵芳(南),葵芳(南),
40X,I,1,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,WU KAI SHA STATION,烏溪沙站,乌溪沙站,
41A,O,1,TSING YI (CHEUNG ON ESTATE),青衣(長安邨),青衣(长安邨),TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,
41A,I,1,TSIM SHA TSUI EAST,尖沙咀東,尖沙咀东,TSING YI (CHEUNG ON ESTATE),青衣(長安邨),青衣(长安邨),
41M,O,1,TSING YI FERRY,青衣碼頭,青衣码头,TSUEN WAN STATION,荃灣站,荃湾站,
41M,I,1,TSUEN WAN STATION,荃灣站,荃湾站,TSING YI FERRY,青衣碼頭,青衣码头,
41R,O,1,HONG KONG COLISEUM,紅磡香港體育館,红磡香港体育馆,TSING YI (CHEUNG CHING ESTATE),青衣(長青邨),青衣(长青邨),
42,O,1,TSING YI (CHEUNG HONG ESTATE),青衣(長康邨),青衣(长康邨),SHUN LEE,順利,顺利,
42,I,1,SHUN LEE,順利,顺利,TSING YI (CHEUNG HONG ESTATE),青衣(長康邨),青衣(长康邨),
42A,O,1,TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
42A,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),
42C,O,1,TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),LAM TIN STATION,藍田站,蓝田站,
42C,I,1,LAM TIN STATION,藍田站,蓝田站,TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),
42M,O,1,TSING YI (CHEUNG WANG ESTATE),青衣(長宏邨),青衣(长宏邨),TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),
42M,I,1,TSUEN WAN (DISCOVERY PARK),荃灣(愉景新城),荃湾(愉景新城),TSING YI (CHEUNG WANG ESTATE),青衣(長宏邨),青衣(长宏邨),
43,O,1,TSING YI (CHEUNG HONG ESTATE),青衣(長康邨),青衣(长康邨),TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
43,I,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,TSING YI (CHEUNG HONG ESTATE),青衣(長康邨),青衣(长康邨),
43A,O,1,TSING YI (CHEUNG WANG ESTATE),青衣(長宏邨),青衣(长宏邨),SHEK LEI (TAI LOONG STREET),石籬(大隴街),石篱(大陇街),
43A,I,1,SHEK LEI (TAI LOONG STREET),石籬(大隴街),石篱(大陇街),TSING YI (CHEUNG WANG ESTATE),青衣(長宏邨),青衣(长宏邨),
43B,O,1,TSING YI (CHEUNG CHING ESTATE),青衣(長青邨),青衣(长青邨),TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
43B,I,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,TSING YI (CHEUNG CHING ESTATE),青衣(長青邨),青衣(长青邨),
43C,O,1,TSING YI (CHEUNG HONG ESTATE),青衣(長康邨),青衣(长康邨),ISLAND HARBOURVIEW,維港灣,维港湾,
43C,I,1,ISLAND HARBOURVIEW,維港灣,维港湾,TSING YI (CHEUNG HANG ESTATE),青衣(長亨邨),青衣(长亨邨),
43D,O,1,TSING YI (CHEUNG WANG ESTATE),青衣(長宏邨),青衣(长宏邨),KWAI SHING,葵盛,葵盛,
43M,O,1,KWAI FONG STATION,葵芳站,葵芳站,CHEUNG CHING (CIRCULAR),長青(循環線),长青(循环线),
43P,O,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,HONG KONG SCIENCE PARK,香港科學園,香港科学园,
43P,I,1,HONG KONG SCIENCE PARK,香港科學園,香港科学园,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
43S,O,1,SHEK YAM,石蔭,石荫,HONG KONG SCIENCE PARK,香港科學園,香港科学园,
43S,I,1,HONG KONG SCIENCE PARK,香港科學園,香港科学园,SHEK YAM,石蔭,石荫,
43X,O,1,YIU ON,耀安,耀安,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
43X,O,2,PO TAI STREET,保泰街,保泰街,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
43X,I,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,YIU ON,耀安,耀安,
44,O,1,TSING YI ESTATE,青衣邨,青衣邨,MONG KOK EAST STATION,旺角東站,旺角东站,
44,I,1,MONG KOK EAST STATION,旺角東站,旺角东站,TSING YI ESTATE,青衣邨,青衣邨,
44M,O,1,TSING YI STATION,青衣站,青衣站,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,
44M,O,2,TSING YI (CHEUNG ON ESTATE),青衣(長安邨),青衣(长安邨),KWAI HING STATION,葵興站,葵兴站,
44M,I,1,KWAI CHUNG ESTATE,葵涌邨,葵涌邨,TSING YI STATION,青衣站,青衣站,
45,O,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,KWAI CHUNG (LAI YIU ESTATE),葵涌(麗瑤邨),葵涌(丽瑶邨),
45,I,1,KWAI CHUNG (LAI YIU ESTATE),葵涌(麗瑤邨),葵涌(丽瑶邨),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
46,O,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),KWAI CHUNG (LAI YIU ESTATE),葵涌(麗瑤邨),葵涌(丽瑶邨),
46,I,1,KWAI CHUNG (LAI YIU ESTATE),葵涌(麗瑤邨),葵涌(丽瑶邨),JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
46P,O,1,MEI TIN,美田,美田,KWAI FONG STATION,葵芳站,葵芳站,
46P,I,1,KWAI FONG STATION,葵芳站,葵芳站,MEI TIN,美田,美田,
46R,O,1,TAI WAI STATION,大圍站,大围站,NGONG SHUEN CHAU BARRACKS,昂船洲軍營,昂船洲军营,
46R,I,1,NGONG SHUEN CHAU BARRACKS,昂船洲軍營,昂船洲军营,TAI WAI STATION,大圍站,大围站,
46S,O,1,HIN KENG,顯徑,显径,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
46S,I,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),HIN KENG,顯徑,显径,
46X,O,1,HIN KENG,顯徑,显径,MEI FOO,美孚,美孚,
46X,I,1,MEI FOO,美孚,美孚,HIN KENG,顯徑,显径,
47A,O,1,SHUI CHUEN O,水泉澳,水泉澳,KWAI FONG (SOUTH),葵芳(南),葵芳(南),
47A,O,3,SHUI CHUEN O,水泉澳,水泉澳,KWAI FONG (SOUTH),葵芳(南),葵芳(南),
47A,I,1,KWAI FONG (SOUTH),葵芳(南),葵芳(南),SHUI CHUEN O,水泉澳,水泉澳,
47X,O,1,CHUN SHEK,秦石,秦石,KWAI SHING (EAST),葵盛(東),葵盛(东),
47X,O,2,CHUN SHEK,秦石,秦石,KWAI SHING (EAST),葵盛(東),葵盛(东),
47X,O,4,SUN TIN WAI,新田圍,新田围,KWAI SHING (EAST),葵盛(東),葵盛(东),
47X,I,1,KWAI SHING (EAST),葵盛(東),葵盛(东),CHUN SHEK,秦石,秦石,
48P,O,1,FO TAN CHUN YEUNG ESTATE,火炭駿洋邨,火炭骏洋邨,TSING LUNG TAU,青龍頭,青龙头,
48P,I,1,TSING LUNG TAU,青龍頭,青龙头,FO TAN CHUN YEUNG ESTATE,火炭駿洋邨,火炭骏洋邨,
48X,O,1,WO CHE,禾輋,禾輋,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),
48X,I,1,TSUEN WAN (BAYVIEW GARDEN),荃灣(灣景花園),荃湾(湾景花园),WO CHE,禾輋,禾輋,
49,O,1,CHING FU COURT,青富苑,青富苑,TSEUNG KWAN O INDUSTRIAL ESTATE,將軍澳工業邨,将军澳工业邨,
49,I,1,TSEUNG KWAN O INDUSTRIAL ESTATE,將軍澳工業邨,将军澳工业邨,CHING FU COURT,青富苑,青富苑,
49A,O,1,CHING FU COURT,青富苑,青富苑,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,
49A,I,1,TSUEN WAN WEST STATION,荃灣西站,荃湾西站,CHING FU COURT,青富苑,青富苑,
49M,O,1,Tsing Yi(Ching Fu Court),青衣(青富苑),青衣(青富苑),Tsing Yi Station (Circular),青衣站(循環線),青衣站(循环线),
49P,O,1,SHATIN CENTRAL,沙田巿中心,沙田巿中心,TSING YI FERRY,青衣碼頭,青衣码头,
49X,O,1,KWONG YUEN,廣源,广源,TSING YI FERRY,青衣碼頭,青衣码头,
49X,O,2,SHEK MUN ESTATE,碩門邨,硕门邨,TSING YI FERRY,青衣碼頭,青衣码头,
49X,O,3,KWONG YUEN,廣源,广源,TSING YI FERRY,青衣碼頭,青衣码头,
49X,I,1,TSING YI FERRY,青衣碼頭,青衣码头,KWONG YUEN,廣源,广源,
51,O,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),SHEUNG TSUEN (CIRCULAR),上村(循環線),上村(循环线),
52P,O,1,SO KWUN WAT,掃管笏,扫管笏,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
52S,O,1,TUEN MUN ROAD BBI,屯門公路轉車站,屯门公路转车站,TSANG TSUI,曾咀,曾咀,
52S,I,1,TSANG TSUI,曾咀,曾咀,TUEN MUN ROAD BBI,屯門公路轉車站,屯门公路转车站,
52X,O,1,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
52X,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,
53,O,1,YOHO MALL (YUEN LONG),元朗 形點,元朗 形点,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
53,I,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),YOHO MALL (YUEN LONG),元朗 形點,元朗 形点,
54,O,1,YUEN LONG (WEST),元朗(西),元朗(西),SHEUNG TSUEN (CIRCULAR),上村(循環線),上村(循环线),
57M,O,1,TUEN MUN (SHAN KING ESTATE),屯門(山景邨),屯门(山景邨),LAI KING (NORTH),荔景(北),荔景(北),
57M,I,1,LAI KING (NORTH),荔景(北),荔景(北),TUEN MUN (SHAN KING ESTATE),屯門(山景邨),屯门(山景邨),
58M,O,1,TUEN MUN (LEUNG KING ESTATE),屯門(良景邨),屯门(良景邨),KWAI FONG STATION,葵芳站,葵芳站,
58M,O,2,TUEN MUN (KIN SANG ESTATE),屯門(建生邨),屯门(建生邨),KWAI FONG STATION,葵芳站,葵芳站,
58M,O,3,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),KWAI FONG STATION,葵芳站,葵芳站,
58M,I,1,KWAI FONG STATION,葵芳站,葵芳站,TUEN MUN (LEUNG KING ESTATE),屯門(良景邨),屯门(良景邨),
58P,O,1,KWAI FONG STATION,葵芳站,葵芳站,TIN KING ESTATE (TIN YUE HOUSE),田景邨(田裕樓),田景邨(田裕楼),
58X,O,1,TUEN MUN (LEUNG KING ESTATE),屯門(良景邨),屯门(良景邨),MONG KOK EAST STATION,旺角東站,旺角东站,
58X,O,2,TUEN MUN (KIN SANG ESTATE),屯門(建生邨),屯门(建生邨),MONG KOK EAST STATION,旺角東站,旺角东站,
58X,I,1,MONG KOK EAST STATION,旺角東站,旺角东站,TUEN MUN (LEUNG KING ESTATE),屯門(良景邨),屯门(良景邨),
59A,O,1,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,KWAI FONG (KWAI TSUI ESTATE),葵芳(葵翠邨),葵芳(葵翠邨),
59A,I,1,KWAI FONG (KWAI TSUI ESTATE),葵芳(葵翠邨),葵芳(葵翠邨),TUEN MUN PIER HEAD,屯門碼頭,屯门码头,
59M,O,1,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,TSUEN WAN STATION,荃灣站,荃湾站,
59M,O,2,YUET WU VILLA,悅湖山莊,悦湖山庄,TSUEN WAN STATION,荃灣站,荃湾站,
59M,O,3,SUN TUEN MUN CENTRE,新屯門中心,新屯门中心,TSUEN WAN STATION,荃灣站,荃湾站,
59M,I,1,TSUEN WAN STATION,荃灣站,荃湾站,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,
59X,O,1,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,MONG KOK EAST STATION,旺角東站,旺角东站,
59X,O,2,SUN TUEN MUN CENTRE,新屯門中心,新屯门中心,MONG KOK EAST STATION,旺角東站,旺角东站,
59X,O,3,TUEN MUN (LUNG MUN OASIS),屯門(龍門居),屯门(龙门居),MONG KOK EAST STATION,旺角東站,旺角东站,
59X,I,1,MONG KOK EAST STATION,旺角東站,旺角东站,TUEN MUN PIER HEAD,屯門碼頭,屯门码头,
60M,O,1,TUEN MUN STATION,屯門站,屯门站,TSUEN WAN STATION,荃灣站,荃湾站,
60M,I,1,TSUEN WAN STATION,荃灣站,荃湾站,TUEN MUN STATION,屯門站,屯门站,
60X,O,1,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
60X,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,
61A,O,1,TUEN MUN (HOI WING ROAD),屯門(海榮路),屯门(海荣路),TUEN MUN ROAD BBI - URBAN BOUND,屯門公路轉車站- 市區方向,屯门公路转车站- 市区方向,
61M,O,1,TUEN MUN (HOI WING ROAD),屯門(海榮路),屯门(海荣路),LAI KING (NORTH),荔景(北),荔景(北),
61M,I,1,LAI KING (NORTH),荔景(北),荔景(北),TUEN MUN (HOI WING ROAD),屯門(海榮路),屯门(海荣路),
61P,O,1,SO KWUN WAT,掃管笏,扫管笏,TSUEN WAN STATION,荃灣站,荃湾站,
61P,I,1,TSUEN WAN STATION,荃灣站,荃湾站,SO KWUN WAT,掃管笏,扫管笏,
61X,O,1,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
61X,I,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,
62P,O,1,TUEN MUN CENTRAL,屯門巿中心,屯门巿中心,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
62X,O,1,SIU HONG STATION (SOUTH),兆康站(南),兆康站(南),LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,
62X,I,1,LEI YUE MUN ESTATE,鯉魚門邨,鲤鱼门邨,SIU HONG STATION (SOUTH),兆康站(南),兆康站(南),
63X,O,1,HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
63X,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),
64K,O,1,YUEN LONG (WEST),元朗(西),元朗(西),TAI PO MARKET STATION,大埔墟站,大埔墟站,
64K,O,2,NG TUNG CHAI (PAK NGAU SHEK),梧桐寨 (白牛石),梧桐寨 (白牛石),TAI PO (TAI WO),大埔(太和),大埔(太和),
64K,I,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,YUEN LONG (WEST),元朗(西),元朗(西),
64P,O,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,KADOORIE FARM,嘉道理農場,嘉道理农场,
64S,O,1,SHEUNG TSUEN PLAYGROUND,上村球場,上村球场,KAM SHEUNG ROAD STATION,錦上路站,锦上路站,
64X,O,1,HUNG SHUI KIU (HUNG YUEN ROAD),洪水橋(洪元路),洪水桥(洪元路),HONG KONG SCIENCE PARK,香港科學園,香港科学园,
65K,O,1,NG TUNG CHAI (PAK NGAU SHEK),梧桐寨 (白牛石),梧桐寨 (白牛石),TAI PO CENTRAL,大埔中心,大埔中心,
65X,O,1,TIN YAN ESTATE,天恩邨,天恩邨,HONG KONG SCIENCE PARK,香港科學園,香港科学园,
66M,O,1,TUEN MUN (TAI HING ESTATE),屯門(大興邨),屯门(大兴邨),TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),
66M,I,1,TSUEN WAN (NINA TOWER),荃灣(如心廣場),荃湾(如心广场),TUEN MUN (TAI HING ESTATE),屯門(大興邨),屯门(大兴邨),
66X,O,1,TUEN MUN (TAI HING ESTATE),屯門(大興邨),屯门(大兴邨),OLYMPIC STATION,奧運站,奥运站,
66X,I,1,OLYMPIC STATION,奧運站,奥运站,TUEN MUN (TAI HING ESTATE),屯門(大興邨),屯门(大兴邨),
67A,O,1,TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),KWAI FONG (KWAI TSUI ESTATE),葵芳(葵翠邨),葵芳(葵翠邨),
67A,I,1,KWAI FONG (KWAI TSUI ESTATE),葵芳(葵翠邨),葵芳(葵翠邨),TUEN MUN (PO TIN ESTATE),屯門(寶田邨),屯门(宝田邨),
67M,O,1,TUEN MUN (SIU HONG COURT),屯門(兆康苑),屯门(兆康苑),KWAI FONG STATION,葵芳站,葵芳站,
67M,I,1,KWAI FONG STATION,葵芳站,葵芳站,TUEN MUN (SIU HONG COURT),屯門(兆康苑),屯门(兆康苑),
67X,O,1,TUEN MUN (SIU HONG COURT),屯門(兆康苑),屯门(兆康苑),MONG KOK EAST STATION,旺角東站,旺角东站,
67X,I,1,MONG KOK EAST STATION,旺角東站,旺角东站,TUEN MUN (SIU HONG COURT),屯門(兆康苑),屯门(兆康苑),
68,O,1,PARK YOHO,峻巒,峻峦,YOHO MALL (CIRCULAR),形點 (循環線),形点 (循环线),
68A,O,1,LONG PING ESTATE,朗屏邨,朗屏邨,TSING YI STATION,青衣站,青衣站,
68A,I,1,TSING YI STATION,青衣站,青衣站,LONG PING ESTATE,朗屏邨,朗屏邨,
68E,O,1,YUEN LONG PARK,元朗公園,元朗公园,TSING YI STATION,青衣站,青衣站,
68E,I,1,TSING YI STATION,青衣站,青衣站,YUEN LONG PARK,元朗公園,元朗公园,
68F,O,1,PARK YOHO,峻巒,峻峦,YUEN LONG PARK (CIRCULAR),元朗公園(循環線),元朗公园(循环线),
68M,O,1,TSUEN WAN STATION,荃灣站,荃湾站,YUEN LONG (WEST),元朗(西),元朗(西),
68M,I,1,YUEN LONG (WEST),元朗(西),元朗(西),TSUEN WAN STATION,荃灣站,荃湾站,
68X,O,1,HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
68X,O,3,YUEN LONG (WEST),元朗(西),元朗(西),MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
68X,O,4,YUET PING HOUSE LONG PING ESTATE,朗屏邨悅屏樓,朗屏邨悦屏楼,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
68X,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),HUNG SHUI KIU (HUNG FUK ESTATE),洪水橋(洪福邨),洪水桥(洪福邨),
69,O,1,TIN SHUI WAI TOWN CENTRE,天水圍市中心,天水围市中心,YUEN LONG (TAK YIP STREET),元朗(德業街),元朗(德业街),
69,I,1,YUEN LONG (TAK YIP STREET),元朗(德業街),元朗(德业街),TIN SHUI WAI TOWN CENTRE,天水圍市中心,天水围市中心,
69C,O,1,TIN YAN ESTATE,天恩邨,天恩邨,KWUN TONG FERRY,觀塘碼頭,观塘码头,
69C,O,2,TIN YAN ESTATE,天恩邨,天恩邨,KWUN TONG FERRY,觀塘碼頭,观塘码头,
69C,I,1,KWUN TONG FERRY,觀塘碼頭,观塘码头,TIN YAN ESTATE,天恩邨,天恩邨,
69M,O,1,KWAI FONG STATION,葵芳站,葵芳站,TIN SHUI WAI TOWN CENTRE,天水圍市中心,天水围市中心,
69M,I,1,TIN SHUI WAI TOWN CENTRE,天水圍市中心,天水围市中心,KWAI FONG STATION,葵芳站,葵芳站,
69P,O,1,TIN SHUI WAI STATION,天水圍站,天水围站,KWAI FONG STATION,葵芳站,葵芳站,
69X,O,1,TIN SHUI,天瑞,天瑞,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
69X,O,2,TIN YIU,天耀,天耀,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),
69X,I,1,JORDAN (WEST KOWLOON STATION),佐敦(西九龍站),佐敦(西九龙站),TIN SHUI,天瑞,天瑞,
70K,O,1,FANLING (WAH MING),粉嶺(華明),粉岭(华明),CHING HO (CIRCULAR),清河(循環線),清河(循环线),
70K,O,2,SHEUNG SHUI (CHING HO),上水(清河),上水(清河),FANLING (WAH MING),粉嶺(華明),粉岭(华明),
70S,O,1,HUNG HOM STATION,紅磡站,红磡站,WO HOP SHEK,和合石,和合石,
70S,I,1,WO HOP SHEK,和合石,和合石,HUNG HOM STATION,紅磡站,红磡站,
71A,O,1,TAI PO (FU HENG),大埔(富亨),大埔(富亨),TAI PO MARKET STATION,大埔墟站,大埔墟站,
71A,I,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,TAI PO (FU HENG),大埔(富亨),大埔(富亨),
71B,O,1,TAI PO (FU HENG),大埔(富亨),大埔(富亨),TAI PO CENTRAL (CIRCULAR),大埔中心(循環線),大埔中心(循环线),
71K,O,1,TAI PO (TAI WO),大埔(太和),大埔(太和),TAI PO MARKET STATION,大埔墟站,大埔墟站,
71K,I,1,TAI PO MARKET STATION,大埔墟站,大埔墟站,TAI PO (TAI WO),大埔(太和),大埔(太和),
71S,O,1,TAI PO (FU SHIN),大埔(富善),大埔(富善),KWONG FUK (CIRCULAR),廣福(循環線),广福(循环线),
72,O,1,TAI PO (TAI WO),大埔(太和),大埔(太和),CHEUNG SHA WAN,長沙灣,长沙湾,
72,I,1,CHEUNG SHA WAN,長沙灣,长沙湾,TAI PO (TAI WO),大埔(太和),大埔(太和),
72A,O,1,TAI WAI STATION,大圍站,大围站,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,
72A,I,1,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,TAI WAI STATION,大圍站,大围站,
72C,O,1,TAI MEI TUK,大美督,大美督,TAI PO MARKET STATION,大埔墟站,大埔墟站,
72K,O,1,FU TIP BUS TERMINUS,富蝶總站,富蝶总站,TAI WO (CIRCULAR),太和 (循環線),太和 (循环线),
72X,O,1,FU TIP BUS TERMINUS,富蝶總站,富蝶总站,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),
72X,I,1,MONG KOK (PARK AVENUE),旺角(柏景灣),旺角(柏景湾),FU TIP BUS TERMINUS,富蝶總站,富蝶总站,
73,O,1,FANLING (WAH MING),粉嶺(華明),粉岭(华明),TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,
73,O,2,FANLING (WAH MING),粉嶺(華明),粉岭(华明),TAI PO CENTRAL,大埔中心,大埔中心,
73,I,1,TAI PO INDUSTRIAL ESTATE,大埔工業邨,大埔工业邨,FANLING (WAH MING),粉嶺(華明),粉岭(华明),
73,I,2,TAI PO CENTRAL,大埔中心,大埔中心,FANLING (WAH MING),粉嶺(華明),粉岭(华明),
73A,O,1,FANLING (WAH MING),粉嶺(華明),粉岭(华明),YU CHUI COURT,愉翠苑,愉翠苑,
73A,I,1,YU CHUI COURT,愉翠苑,愉翠苑,FANLING (WAH MING),粉嶺(華明),粉岭(华明),
