kmb_route,citybus_route,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,origin_match,dest_match,cross_match,match_type
89,78P,LEK YUEN,KWUN TONG (TSUI PING NORTH ESTATE),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
89,78P,KWUN TONG (TSUI PING NORTH ESTATE),LEK YUEN,Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
89B,796S,SHATIN WAI,NGAU TAU KOK,Tseung Kwan O Station,Ngau Tau Kok Station,False,True,False,name_similarity
89B,986,SHATIN WAI,NGAU TAU KOK,Sha Tin Wai,Sai Wan Ho,True,False,False,name_similarity
89B,N121,SHATIN WAI,NGAU TAU KOK,Central (Macau Ferry),Ngau Tau Kok,False,True,False,name_similarity
89B,796S,NGAU TAU KOK,SHATIN WAI,Tseung Kwan O Station,Ngau Tau Kok Station,False,False,True,name_similarity
89B,N121,NGAU TAU KOK,SHATIN WAI,Central (Macau Ferry),Ngau Tau Kok,False,False,True,name_similarity
89C,78P,HENG ON,KWUN TONG (TSUI PING ROAD),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
89C,78P,HENG ON,KWUN TONG (TSUI PING ROAD),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
89C,78P,KWUN TONG (TSUI PING ROAD),HENG ON,Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
89D,581,WU KAI SHA STATION,LAM TIN STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,False,True,name_similarity
89D,61R,WU KAI SHA STATION,LAM TIN STATION,City One Shatin,Lam Tin Station,False,True,False,name_similarity
89D,680P,WU KAI SHA STATION,LAM TIN STATION,Ma On Shan (Wu Kai Sha Station),Admiralty (East),True,False,False,name_similarity
89D,680X,WU KAI SHA STATION,LAM TIN STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
89D,682,WU KAI SHA STATION,LAM TIN STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
89D,682P,WU KAI SHA STATION,LAM TIN STATION,Wu Kai Sha Station,Chai Wan (East),True,False,False,name_similarity
89D,980X,WU KAI SHA STATION,LAM TIN STATION,Ma On Shan (Wu Kai Sha Station),Wan Chai,True,False,False,name_similarity
89D,581,LAM TIN STATION,WU KAI SHA STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,True,False,name_similarity
89D,61R,LAM TIN STATION,WU KAI SHA STATION,City One Shatin,Lam Tin Station,False,False,True,name_similarity
89D,680X,LAM TIN STATION,WU KAI SHA STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89D,682,LAM TIN STATION,WU KAI SHA STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89D,A22,LAM TIN STATION,WU KAI SHA STATION,Lam Tin Station,Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
89D,581,LAM TIN STATION,WU KAI SHA STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,True,False,name_similarity
89D,61R,LAM TIN STATION,WU KAI SHA STATION,City One Shatin,Lam Tin Station,False,False,True,name_similarity
89D,680X,LAM TIN STATION,WU KAI SHA STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89D,682,LAM TIN STATION,WU KAI SHA STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89D,A22,LAM TIN STATION,WU KAI SHA STATION,Lam Tin Station,Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
89P,581,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,False,True,name_similarity
89P,61R,MA ON SHAN TOWN CENTRE,LAM TIN STATION,City One Shatin,Lam Tin Station,False,True,False,name_similarity
89P,681,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Central (Hong Kong Station),Ma On Shan Town Centre,False,False,True,name_similarity
89P,682A,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Ma On Shan Town Centre,Chai Wan (East),True,False,False,name_similarity
89P,61R,HANG HONG STREET,LAM TIN STATION,City One Shatin,Lam Tin Station,False,True,False,name_similarity
89P,581,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,False,True,name_similarity
89P,61R,MA ON SHAN TOWN CENTRE,LAM TIN STATION,City One Shatin,Lam Tin Station,False,True,False,name_similarity
89P,681,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Central (Hong Kong Station),Ma On Shan Town Centre,False,False,True,name_similarity
89P,682A,MA ON SHAN TOWN CENTRE,LAM TIN STATION,Ma On Shan Town Centre,Chai Wan (East),True,False,False,name_similarity
89S,581,SHUI CHUEN O,WU KAI SHA STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,True,False,name_similarity
89S,680X,SHUI CHUEN O,WU KAI SHA STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89S,682,SHUI CHUEN O,WU KAI SHA STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89S,682B,SHUI CHUEN O,WU KAI SHA STATION,Shui Chuen O Estate,Chai Wan (East),True,False,False,name_similarity
89S,581,SHUI CHUEN O,WU KAI SHA STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,True,False,name_similarity
89S,680X,SHUI CHUEN O,WU KAI SHA STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89S,682,SHUI CHUEN O,WU KAI SHA STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
89S,682B,SHUI CHUEN O,WU KAI SHA STATION,Shui Chuen O Estate,Chai Wan (East),True,False,False,name_similarity
89S,581,WU KAI SHA STATION,SHUI CHUEN O,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,False,True,name_similarity
89S,680P,WU KAI SHA STATION,SHUI CHUEN O,Ma On Shan (Wu Kai Sha Station),Admiralty (East),True,False,False,name_similarity
89S,680X,WU KAI SHA STATION,SHUI CHUEN O,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
89S,682,WU KAI SHA STATION,SHUI CHUEN O,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
89S,682P,WU KAI SHA STATION,SHUI CHUEN O,Wu Kai Sha Station,Chai Wan (East),True,False,False,name_similarity
89S,980X,WU KAI SHA STATION,SHUI CHUEN O,Ma On Shan (Wu Kai Sha Station),Wan Chai,True,False,False,name_similarity
89X,170,SHATIN STATION,KWUN TONG (TSUI PING ROAD),Wah Fu (Central),Sha Tin Station,False,False,True,name_similarity
89X,78P,SHATIN STATION,KWUN TONG (TSUI PING ROAD),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
89X,798A,SHATIN STATION,KWUN TONG (TSUI PING ROAD),Tseung Kwan O (Hong Sing Garden),Sha Tin Station,False,False,True,name_similarity
89X,170,KWUN TONG (TSUI PING ROAD),SHATIN STATION,Wah Fu (Central),Sha Tin Station,False,True,False,name_similarity
89X,78P,KWUN TONG (TSUI PING ROAD),SHATIN STATION,Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
89X,798A,KWUN TONG (TSUI PING ROAD),SHATIN STATION,Tseung Kwan O (Hong Sing Garden),Sha Tin Station,False,True,False,name_similarity
90,980A,SHEK MUN ESTATE,TSEUNG KWAN O (CHOI MING),Shek Mun Estate,Wan Chai,True,False,False,name_similarity
90,982C,SHEK MUN ESTATE,TSEUNG KWAN O (CHOI MING),Shek Mun Estate,Sai Wan Ho,True,False,False,name_similarity
91,671,CLEAR WATER BAY,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
91,671X,CLEAR WATER BAY,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
91,790,CLEAR WATER BAY,DIAMOND HILL STATION,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),True,False,False,name_similarity
91,795X,CLEAR WATER BAY,DIAMOND HILL STATION,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),True,False,False,name_similarity
91,671,DIAMOND HILL STATION,CLEAR WATER BAY,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91,671X,DIAMOND HILL STATION,CLEAR WATER BAY,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91,113,CHOI HUNG BBI - PIK HOI HOUSE (M1),CLEAR WATER BAY,Kennedy Town (Belcher Bay),Choi Hung,False,False,True,name_similarity
91M,671,PO LAM,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
91M,671X,PO LAM,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
91M,A29,PO LAM,DIAMOND HILL STATION,Tseung Kwan O (Po Lam),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
91M,E22S,PO LAM,DIAMOND HILL STATION,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,False,True,name_similarity
91M,NA29,PO LAM,DIAMOND HILL STATION,Tseung Kwan O (Po Lam),Airport / HZMB Hong Kong Port,True,False,False,name_similarity
91M,671,DIAMOND HILL STATION,PO LAM,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91M,671X,DIAMOND HILL STATION,PO LAM,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91M,E22S,DIAMOND HILL STATION,PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
91M,E22S,H.K.U.S.T (NORTH),PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
91P,671,DIAMOND HILL STATION,H.K.U.S.T (NORTH),Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91P,671X,DIAMOND HILL STATION,H.K.U.S.T (NORTH),Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
91P,113,H.K.U.S.T. (SOUTH),PING SHEK / CHOI HUNG STATION,Kennedy Town (Belcher Bay),Choi Hung,False,True,False,name_similarity
91S,101,CLEAR WATER BAY,KWUN TONG,Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
91S,101R,CLEAR WATER BAY,KWUN TONG,Happy Valley Racecourse,Kwun Tong (Yue Man Square),False,True,False,name_similarity
91S,101X,CLEAR WATER BAY,KWUN TONG,Kennedy Town,Kwun Tong (Yue Man Square),False,True,False,name_similarity
91S,55,CLEAR WATER BAY,KWUN TONG,Tuen Mun (Ching Tin and Wo Tin),Kwun Tong Ferry Pier,False,True,False,name_similarity
91S,78C,CLEAR WATER BAY,KWUN TONG,Queen's Hill Fanling,Kai Tak (Via: Kwun Tong),False,True,False,name_similarity
91S,78P,CLEAR WATER BAY,KWUN TONG,Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
91S,78X,CLEAR WATER BAY,KWUN TONG,Queen's Hill Fanling,Kai Tak (via: Kwun Tong),False,True,False,name_similarity
91S,790,CLEAR WATER BAY,KWUN TONG,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),True,False,False,name_similarity
91S,795X,CLEAR WATER BAY,KWUN TONG,Oscar by the Sea (via: Sheung Tak),So Uk (via: Mong Kok and Mei Foo),True,False,False,name_similarity
92,671,SAI KUNG,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
92,671X,SAI KUNG,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
92,792M,SAI KUNG,DIAMOND HILL STATION,Tseung Kwan O Station,Sai Kung,False,False,True,name_similarity
92,671,SAI KUNG,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
92,671X,SAI KUNG,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
92,792M,SAI KUNG,DIAMOND HILL STATION,Tseung Kwan O Station,Sai Kung,False,False,True,name_similarity
92,671,DIAMOND HILL STATION,SAI KUNG,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
92,671X,DIAMOND HILL STATION,SAI KUNG,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
92,792M,DIAMOND HILL STATION,SAI KUNG,Tseung Kwan O Station,Sai Kung,False,True,False,name_similarity
92,671,DIAMOND HILL STATION,SAI KUNG,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
92,671X,DIAMOND HILL STATION,SAI KUNG,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
92,792M,DIAMOND HILL STATION,SAI KUNG,Tseung Kwan O Station,Sai Kung,False,True,False,name_similarity
92R,792M,SAI KUNG,STAR FERRY,Tseung Kwan O Station,Sai Kung,False,False,True,name_similarity
92R,H2,SAI KUNG,STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,False,True,False,name_similarity
92R,3A,STAR FERRY,SAI KUNG,Central (Star Ferry),Felix Villas,True,False,False,name_similarity
92R,629,STAR FERRY,SAI KUNG,Central (Star Ferry),Ocean Park (Main Entrance / Water World),True,False,False,name_similarity
92R,792M,STAR FERRY,SAI KUNG,Tseung Kwan O Station,Sai Kung,False,True,False,name_similarity
92R,H1,STAR FERRY,SAI KUNG,Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,False,name_similarity
92R,H1S,STAR FERRY,SAI KUNG,Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
92R,H2,STAR FERRY,SAI KUNG,Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,True,name_similarity
92R,H2K,STAR FERRY,SAI KUNG,Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
92R,N21,STAR FERRY,SAI KUNG,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),True,False,False,name_similarity
92R,N21A,STAR FERRY,SAI KUNG,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),True,False,False,name_similarity
92R,X15,STAR FERRY,SAI KUNG,Central (Star Ferry),The Peak,True,False,False,name_similarity
92R,X9,STAR FERRY,SAI KUNG,Central (Star Ferry),Shek O,True,False,False,name_similarity
93A,55,PO LAM,KWUN TONG FERRY,Tuen Mun (Ching Tin and Wo Tin),Kwun Tong Ferry Pier,False,True,False,name_similarity
93A,78P,PO LAM,KWUN TONG FERRY,Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
93A,A29,PO LAM,KWUN TONG FERRY,Tseung Kwan O (Po Lam),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
93A,E22S,PO LAM,KWUN TONG FERRY,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,False,True,name_similarity
93A,NA29,PO LAM,KWUN TONG FERRY,Tseung Kwan O (Po Lam),Airport / HZMB Hong Kong Port,True,False,False,name_similarity
93A,55,KWUN TONG FERRY,PO LAM,Tuen Mun (Ching Tin and Wo Tin),Kwun Tong Ferry Pier,False,False,True,name_similarity
93A,78P,KWUN TONG FERRY,PO LAM,Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
93A,E22S,KWUN TONG FERRY,PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
93K,104R,PO LAM,MONG KOK EAST STATION,Central (Ferry Piers),Mong Kok,False,True,False,name_similarity
93K,701,PO LAM,MONG KOK EAST STATION,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,True,False,name_similarity
93K,701A,PO LAM,MONG KOK EAST STATION,Hoi Ying Estate,Mong Kok,False,True,False,name_similarity
93K,701S,PO LAM,MONG KOK EAST STATION,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,True,False,name_similarity
93K,971R,PO LAM,MONG KOK EAST STATION,Cyberport  (via Victoria Road),Mong Kok,False,True,False,name_similarity
93K,A29,PO LAM,MONG KOK EAST STATION,Tseung Kwan O (Po Lam),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
93K,E22S,PO LAM,MONG KOK EAST STATION,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,False,True,name_similarity
93K,NA29,PO LAM,MONG KOK EAST STATION,Tseung Kwan O (Po Lam),Airport / HZMB Hong Kong Port,True,False,False,name_similarity
93K,SP2,PO LAM,MONG KOK EAST STATION,Kai Tak Sports Park,Mong Kok,False,True,False,name_similarity
93K,104R,MONG KOK EAST STATION,PO LAM,Central (Ferry Piers),Mong Kok,False,False,True,name_similarity
93K,701,MONG KOK EAST STATION,PO LAM,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,False,True,name_similarity
93K,701A,MONG KOK EAST STATION,PO LAM,Hoi Ying Estate,Mong Kok,False,False,True,name_similarity
93K,701S,MONG KOK EAST STATION,PO LAM,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,False,True,name_similarity
93K,971R,MONG KOK EAST STATION,PO LAM,Cyberport  (via Victoria Road),Mong Kok,False,False,True,name_similarity
93K,E22S,MONG KOK EAST STATION,PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
93K,SP2,MONG KOK EAST STATION,PO LAM,Kai Tak Sports Park,Mong Kok,False,False,True,name_similarity
93M,E22S,TSEUNG KWAN O (CHOI MING),PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
93P,104R,PO LAM,MONG KOK (PARK AVENUE),Central (Ferry Piers),Mong Kok,False,True,False,name_similarity
93P,701,PO LAM,MONG KOK (PARK AVENUE),Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,True,False,name_similarity
93P,701A,PO LAM,MONG KOK (PARK AVENUE),Hoi Ying Estate,Mong Kok,False,True,False,name_similarity
93P,701S,PO LAM,MONG KOK (PARK AVENUE),Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,True,False,name_similarity
93P,971R,PO LAM,MONG KOK (PARK AVENUE),Cyberport  (via Victoria Road),Mong Kok,False,True,False,name_similarity
93P,A29,PO LAM,MONG KOK (PARK AVENUE),Tseung Kwan O (Po Lam),Airport (via HZMB Hong Kong Port),True,False,False,name_similarity
93P,E22S,PO LAM,MONG KOK (PARK AVENUE),Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,False,True,name_similarity
93P,NA29,PO LAM,MONG KOK (PARK AVENUE),Tseung Kwan O (Po Lam),Airport / HZMB Hong Kong Port,True,False,False,name_similarity
93P,SP2,PO LAM,MONG KOK (PARK AVENUE),Kai Tak Sports Park,Mong Kok,False,True,False,name_similarity
93P,104R,MONG KOK (PARK AVENUE),PO LAM,Central (Ferry Piers),Mong Kok,False,False,True,name_similarity
93P,701,MONG KOK (PARK AVENUE),PO LAM,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,False,True,name_similarity
93P,701A,MONG KOK (PARK AVENUE),PO LAM,Hoi Ying Estate,Mong Kok,False,False,True,name_similarity
93P,701S,MONG KOK (PARK AVENUE),PO LAM,Hoi Lai Estate / Nam Cheong Station,Mong Kok,False,False,True,name_similarity
93P,971R,MONG KOK (PARK AVENUE),PO LAM,Cyberport  (via Victoria Road),Mong Kok,False,False,True,name_similarity
93P,E22S,MONG KOK (PARK AVENUE),PO LAM,Tung Chung (Mun Tung Estate),Tseung Kwan O (Po Lam),False,True,False,name_similarity
93P,SP2,MONG KOK (PARK AVENUE),PO LAM,Kai Tak Sports Park,Mong Kok,False,False,True,name_similarity
94,792M,WONG SHEK PIER,SAI KUNG,Tseung Kwan O Station,Sai Kung,False,True,False,name_similarity
94,792M,SAI KUNG,WONG SHEK PIER,Tseung Kwan O Station,Sai Kung,False,False,True,name_similarity
95,20A,TSUI LAM,KOWLOON STATION,Kai Tak Cruise Terminal (via: Mong Kok),HSR West Kowloon Station (via: Mong Kok),False,True,False,name_similarity
95,20R,TSUI LAM,KOWLOON STATION,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,False,True,False,name_similarity
95,50,TSUI LAM,KOWLOON STATION,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),False,True,False,name_similarity
95,79P,TSUI LAM,KOWLOON STATION,Queen's Hill Fanling,High Speed Rail West Kowloon Station,False,True,False,name_similarity
95,N50,TSUI LAM,KOWLOON STATION,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),False,True,False,name_similarity
95,20A,KOWLOON STATION,TSUI LAM,Kai Tak Cruise Terminal (via: Mong Kok),HSR West Kowloon Station (via: Mong Kok),False,False,True,name_similarity
95,20R,KOWLOON STATION,TSUI LAM,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,False,False,True,name_similarity
95,50,KOWLOON STATION,TSUI LAM,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),False,False,True,name_similarity
95,79P,KOWLOON STATION,TSUI LAM,Queen's Hill Fanling,High Speed Rail West Kowloon Station,False,False,True,name_similarity
95,N50,KOWLOON STATION,TSUI LAM,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),False,False,True,name_similarity
95M,78P,TSUI LAM,KWUN TONG (ELEGANCE ROAD),Queen's Hill Fanling,Kwun Tong,False,True,False,name_similarity
95M,78P,KWUN TONG (ELEGANCE ROAD),TSUI LAM,Queen's Hill Fanling,Kwun Tong,False,False,True,name_similarity
96,690,HONG SING GARDEN,TAI PO INDUSTRIAL ESTATE,Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),False,False,True,name_similarity
96,690P,HONG SING GARDEN,TAI PO INDUSTRIAL ESTATE,Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),True,False,False,name_similarity
96,798A,HONG SING GARDEN,TAI PO INDUSTRIAL ESTATE,Tseung Kwan O (Hong Sing Garden),Sha Tin Station,True,False,False,name_similarity
96,E22A,HONG SING GARDEN,TAI PO INDUSTRIAL ESTATE,Tseung Kwan O (Hong Sing Garden),SKYCITY,True,False,False,name_similarity
96,N29,HONG SING GARDEN,TAI PO INDUSTRIAL ESTATE,Tseung Kwan O (Hong Sing Garden),Tung Chung Station,True,False,False,name_similarity
96,15,PARK CENTRAL,TAI PO INDUSTRIAL ESTATE,Central,The Peak,True,False,False,name_similarity
96,1P,PARK CENTRAL,TAI PO INDUSTRIAL ESTATE,Wong Nai Chung Road (Broadwood Road),Central,False,False,True,name_similarity
96,37A,PARK CENTRAL,TAI PO INDUSTRIAL ESTATE,Chi Fu Fa Yuen,Central,False,False,True,name_similarity
96,4,PARK CENTRAL,TAI PO INDUSTRIAL ESTATE,Wong Chuk Hang / Wah Fu (South),Central,False,False,True,name_similarity
96,88R,PARK CENTRAL,TAI PO INDUSTRIAL ESTATE,City One Shatin,Central,False,False,True,name_similarity
96,690,TAI PO INDUSTRIAL ESTATE,HONG SING GARDEN,Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),False,True,False,name_similarity
96R,671,DIAMOND HILL STATION,WONG SHEK PIER,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
96R,671X,DIAMOND HILL STATION,WONG SHEK PIER,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,False,True,name_similarity
96R,671,WONG SHEK PIER,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
96R,671X,WONG SHEK PIER,DIAMOND HILL STATION,Ap Lei Chau (Lee Lok Street),Diamond Hill Station,False,True,False,name_similarity
97,581,WU KAI SHA STATION,HONG SING GARDEN,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,False,True,name_similarity
97,680P,WU KAI SHA STATION,HONG SING GARDEN,Ma On Shan (Wu Kai Sha Station),Admiralty (East),True,False,False,name_similarity
97,680X,WU KAI SHA STATION,HONG SING GARDEN,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
97,682,WU KAI SHA STATION,HONG SING GARDEN,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,False,True,name_similarity
97,682P,WU KAI SHA STATION,HONG SING GARDEN,Wu Kai Sha Station,Chai Wan (East),True,False,False,name_similarity
97,690,WU KAI SHA STATION,HONG SING GARDEN,Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),False,True,False,name_similarity
97,980X,WU KAI SHA STATION,HONG SING GARDEN,Ma On Shan (Wu Kai Sha Station),Wan Chai,True,False,False,name_similarity
97,581,HONG SING GARDEN,WU KAI SHA STATION,Sai Sha and Shap Sze Heung,Ma On Shan Town Centre (Via Wu Kai Sha Station),False,True,False,name_similarity
97,680X,HONG SING GARDEN,WU KAI SHA STATION,Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
97,682,HONG SING GARDEN,WU KAI SHA STATION,Chai Wan (East),Ma On Shan (Wu Kai Sha Station),False,True,False,name_similarity
97,690,HONG SING GARDEN,WU KAI SHA STATION,Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),False,False,True,name_similarity
97,690P,HONG SING GARDEN,WU KAI SHA STATION,Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),True,False,False,name_similarity
97,798A,HONG SING GARDEN,WU KAI SHA STATION,Tseung Kwan O (Hong Sing Garden),Sha Tin Station,True,False,False,name_similarity
97,E22A,HONG SING GARDEN,WU KAI SHA STATION,Tseung Kwan O (Hong Sing Garden),SKYCITY,True,False,False,name_similarity
97,N29,HONG SING GARDEN,WU KAI SHA STATION,Tseung Kwan O (Hong Sing Garden),Tung Chung Station,True,False,False,name_similarity
98,793,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),Tseung Kwan O Industrial Estate,So Uk,True,False,False,name_similarity
98,795,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),Tseung Kwan O Industrial Estate (via: LOHAS Park),Cheung Sha Wan (Hoi Tat),True,False,False,name_similarity
98,796S,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),Tseung Kwan O Station,Ngau Tau Kok Station,False,True,False,name_similarity
98,796X,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,True,False,False,name_similarity
98,797,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),LOHAS Park / Tseung Kwan O Industrial Estate,San Po Kong,True,False,False,name_similarity
98,798P,TSEUNG KWAN O INDUSTRIAL ESTATE,NGAU TAU KOK STATION (CIRCULAR),Tseung Kwan O Industrial Estate,Tai Wai Station (via: Sha Tin),True,False,False,name_similarity
