kmb_route,citybus_route,area,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,match_type
34,70P,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
34,71,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Wong Chuk Hang,Central (Rumsey Street),geographic_area
34,71P,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Sham Wan,Central (Ferry Piers),geographic_area
34,720,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
34,720A,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
34,720P,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Taikoo Shing,Central (Wing Wo Street),geographic_area
34,720X,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Grand Promenade,Central (Rumsey Street),geographic_area
34,722,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Yiu Tung Estate,Central (Ferry Piers),geographic_area
34,75,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Sham Wan,Central (Exchange Square),geographic_area
34,780,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Chai Wan (East),Central (Ferry Piers),geographic_area
34,780P,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
34,788,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
34,88R,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),City One Shatin,Central,geographic_area
34,90,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
34,90C,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
34,91,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
34,94A,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Wah Fu (Central),Lei Tung Estate,geographic_area
34,97,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Lei Tung Estate,Central (Exchange Square),geographic_area
34,979,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
34,H1,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
34,H1S,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
34,H2,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
34,H2K,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
34,H3,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
34,H4,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
34,N11,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
34,N121,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Ngau Tau Kok,geographic_area
34,N170,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Wah Fu (Central),Sha Tin Central,geographic_area
34,N182,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
34,N619,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Shun Lee Estate,geographic_area
34,N680,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
34,N691,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
34,N90,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),South Horizons,Central (Macau Ferry),geographic_area
34,SP10,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Kai Tak Sports Park,Central (Macau Ferry),geographic_area
34,X15,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Star Ferry),The Peak,geographic_area
34,X9,central,TSUEN WAN (BAYVIEW GARDEN),KWAI SHING (CENTRAL),Central (Star Ferry),Shek O,geographic_area
34,1,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Happy Valley (Upper),geographic_area
34,104R,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Ferry Piers),Mong Kok,geographic_area
34,109,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Ho Man Tin Estate,geographic_area
34,11,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Ferry Piers),Jardine's Lookout,geographic_area
34,111,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Ping Shek Estate,geographic_area
34,111P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Choi Fook Estate,Central (Macau Ferry),geographic_area
34,115,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
34,115P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Laguna Verde,Central (Macau Ferry),geographic_area
34,116,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
34,12,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Pier 3,Robinson Road / Park Road,geographic_area
34,15,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central,The Peak,geographic_area
34,15C,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Hong Kong Observation Wheel),Garden Road,geographic_area
34,170,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Fu (Central),Sha Tin Station,geographic_area
34,18,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
34,182,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
34,182X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
34,18P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
34,1P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wong Nai Chung Road (Broadwood Road),Central,geographic_area
34,2,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Grand Promenade,Central (Macau Ferry),geographic_area
34,25,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Pier 3/5),Braemar Hill,geographic_area
34,260,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
34,307,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
34,37A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Chi Fu Fa Yuen,Central,geographic_area
34,3A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Star Ferry),Felix Villas,geographic_area
34,4,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wong Chuk Hang / Wah Fu (South),Central,geographic_area
34,41A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Fu (Central),North Point Ferry Pier,geographic_area
34,4X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Fu (South),Central (Exchange Square),geographic_area
34,511,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Tai Hang Drive,Central (Ferry Piers),geographic_area
34,580,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),GO PARK Sai Sha,Sha Tin Central,geographic_area
34,6,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
34,619,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Shun Lee Estate,geographic_area
34,619P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Shun Lee Estate,Central (Macau Ferry),geographic_area
34,619X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Shun Lee Estate,Central (Macau Ferry),geographic_area
34,621,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Laguna City,Central (Hong Kong Station),geographic_area
34,629,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Star Ferry),Ocean Park (Main Entrance / Water World),geographic_area
34,641,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Kai Tak (Kai Ching Estate),geographic_area
34,66,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Stanley Plaza (Ma Hang),geographic_area
34,679,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
34,680X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry Pier),Ma On Shan (Wu Kai Sha Station),geographic_area
34,681,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Hong Kong Station),Ma On Shan Town Centre,geographic_area
34,690,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Tseung Kwan O (Hong Sing Garden),geographic_area
34,690P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Tseung Kwan O (Hong Sing Garden),Central (Exchange Square),geographic_area
34,690S,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Hang Hau (via: LOHAS Park),geographic_area
34,6A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Stanley Fort (Gate),geographic_area
34,6X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Exchange Square),Stanley Market,geographic_area
34,7,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Shek Pai Wan,Central (Ferry Piers),geographic_area
34,70,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Kwai (via: Aberdeen),Central (Exchange Square),geographic_area
34,70P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Shek Pai Wan (via: Aberdeen),Central (Exchange Square),geographic_area
34,71,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wong Chuk Hang,Central (Rumsey Street),geographic_area
34,71P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Sham Wan,Central (Ferry Piers),geographic_area
34,720,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Grand Promenade,Central (Macau Ferry / Wing Wo Street),geographic_area
34,720A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Grand Promenade,Admiralty (Admiralty Centre)/ Central (Pedder Street),geographic_area
34,720P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Taikoo Shing,Central (Wing Wo Street),geographic_area
34,720X,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Grand Promenade,Central (Rumsey Street),geographic_area
34,722,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Yiu Tung Estate,Central (Ferry Piers),geographic_area
34,75,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Sham Wan,Central (Exchange Square),geographic_area
34,780,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Chai Wan (East),Central (Ferry Piers),geographic_area
34,780P,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Hing Wah (via Causeway Bay),Central (Ferry Piers),geographic_area
34,788,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Siu Sai Wan (Island Resort),Central (Macau Ferry),geographic_area
34,88R,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),City One Shatin,Central,geographic_area
34,90,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Ap Lei Chau Estate,Central (Exchange Square),geographic_area
34,90C,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Main Street Ap Lei Chau,Central (Jardine House),geographic_area
34,91,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Ap Lei Chau Estate,Central (Ferry Piers),geographic_area
34,94A,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Fu (Central),Lei Tung Estate,geographic_area
34,97,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Lei Tung Estate,Central (Exchange Square),geographic_area
34,979,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Queen's Hill Fanling,Central (Hong Kong Station),geographic_area
34,H1,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
34,H1S,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
34,H2,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
34,H2K,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Ferry - Star Ferry,West Kowloon Cultural District,geographic_area
34,H3,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central Ferry - Hong Kong Observation Wheel,Stanley Village / Stanley Market,geographic_area
34,H4,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Stanley Village / Stanley Market,Central Ferry - Hong Kong Observation Wheel,geographic_area
34,N11,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Airport (Ground Transportation Centre),geographic_area
34,N121,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Ngau Tau Kok,geographic_area
34,N170,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Wah Fu (Central),Sha Tin Central,geographic_area
34,N182,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Sha Tin (Kwong Yuen),geographic_area
34,N619,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Shun Lee Estate,geographic_area
34,N680,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Ma On Shan (Kam Ying Court),geographic_area
34,N691,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Macau Ferry),Tiu Keng Leng (King Ling Road),geographic_area
34,N90,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),South Horizons,Central (Macau Ferry),geographic_area
34,SP10,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Kai Tak Sports Park,Central (Macau Ferry),geographic_area
34,X15,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Star Ferry),The Peak,geographic_area
34,X9,central,"FU ON HOUSE, TAI WO HAU ROAD",KWAI SHING (CENTRAL),Central (Star Ferry),Shek O,geographic_area
35A,110,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
35A,173R,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Stanley,Tsim Sha Tsui (Mody Road),geographic_area
35A,20R,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
35A,50,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35A,790,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
35A,796P,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35A,796X,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35A,973,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
35A,A25,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
35A,H1,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35A,H2,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35A,N21,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
35A,N21A,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
35A,N50,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35A,N796,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
35A,110,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
35A,173R,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
35A,20R,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
35A,50,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35A,790,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
35A,796P,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35A,796X,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35A,973,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
35A,A25,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
35A,H1,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35A,H2,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35A,N21,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
35A,N21A,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
35A,N50,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35A,N796,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
35X,110,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
35X,173R,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Stanley,Tsim Sha Tsui (Mody Road),geographic_area
35X,20R,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
35X,50,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35X,790,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
35X,796P,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35X,796X,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35X,973,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
35X,A25,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
35X,H1,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35X,H2,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
35X,N21,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),geographic_area
35X,N21A,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),geographic_area
35X,N50,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35X,N796,tsim_sha_tsui,KWAI CHUNG (ON YAM ESTATE),TSIM SHA TSUI EAST,LOHAS Park,Mongkok (via Tsim Sha Tsui),geographic_area
35X,110,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Shau Kei Wan,Tsim Sha Tsui (Mody Road),geographic_area
35X,173R,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Stanley,Tsim Sha Tsui (Mody Road),geographic_area
35X,20R,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Kai Tak Cruise Terminal,Tsim Sha Tsui / High Speed Rail West Kowloon Station,geographic_area
35X,50,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tuen Mun (Ching Tin and Wo Tin),Tsim Sha Tsui (Kowloon Station),geographic_area
35X,790,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Oscar By The Sea (via: LOHAS Park),Tsim Sha Tsui (Mody Road),geographic_area
35X,796P,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35X,796X,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tseung Kwan O Industrial Estate / Tseung Kwan O Station,Tsim Sha Tsui East,geographic_area
35X,973,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Tsim Sha Tsui (Mody Road),Stanley Market,geographic_area
35X,A25,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Kai Tak (via Tsim Sha Tsui),Airport (via HZMB Hong Kong Port),geographic_area
35X,H1,tsim_sha_tsui,TSIM SHA TSUI EAST,KWAI CHUNG (ON YAM ESTATE),Central Ferry - Star Ferry,Tsim Sha Tsui,geographic_area
